publish_order,target_date,phase,format,working_title,cluster,primary_keyword,live_url,status,owner
26,2026-05-27,Phase 2,spoke,Agricultural casual pay & seasonal spikes: M-Pesa patterns,casual_pay,farm casual workers pay Kenya,,planned,
27,2026-05-29,Phase 2,spoke,Mileage & per diem: SME policy starter for Kenya,expenses,mileage per diem Kenya SME,,planned,
28,2026-06-01,Phase 2,pr,Digital PR / partner pitch week (accountant newsletter + 2 follow-ups),cross,,,planned,
29,2026-06-03,Phase 3,ops,Internal linking audit: every post → 1 pillar + 2 siblings,cross,,,planned,
30,2026-06-05,Phase 3,ops,Cannibalisation pass: merge or differentiate duplicate intents,cross,,,planned,
31,2026-06-08,Phase 3,refresh,Refresh pillar: bulk M-Pesa / disbursements (v2 from GSC data),bulk_mpesa,bulk M-Pesa payments Kenya,,planned,
32,2026-06-10,Phase 3,spoke,Cloud payroll vs installed (Aren-class) TCO for Kenyan SMEs,payroll_sw,cloud vs desktop payroll Kenya,,planned,
33,2026-06-12,Phase 3,spoke,When API-first payouts (Kopo-style) vs ops-first payroll hub,bulk_mpesa,M-Pesa payroll API Kenya,,planned,
34,2026-06-15,Phase 3,asset,Fee & total cost explainer for recurring payroll disbursements (assumptions stated),bulk_mpesa,M-Pesa payroll fees Kenya,,planned,
35,2026-06-17,Phase 3,spoke,Query-gap article #1 (fill from GSC ‘Queries’ export),cross,,,planned,
36,2026-06-19,Phase 3,spoke,Query-gap article #2 (fill from GSC),cross,,,planned,
37,2026-06-22,Phase 3,spoke,Query-gap article #3 (fill from GSC),cross,,,planned,
38,2026-06-24,Phase 3,spoke,Query-gap article #4 (fill from GSC),cross,,,planned,
39,2026-06-26,Phase 3,spoke,Query-gap article #5 (fill from GSC),cross,,,planned,
40,2026-06-29,Phase 3,spoke,Query-gap article #6 (fill from GSC),cross,,,planned,
41,2026-07-01,Phase 3,spoke,Query-gap article #7 (fill from GSC),cross,,,planned,
42,2026-07-03,Phase 3,spoke,Query-gap article #8 (fill from GSC),cross,,,planned,
43,2026-07-06,Phase 3,meta,SERP re-scan 8 head terms + retitle/meta for low-CTR winners,cross,,,planned,
44,2026-07-08,Phase 3,ops,Day-90 retrospective + Q2 plan,cross,,,planned,
